name	path	keyword
b4ea0d9a_nohash_7	google_speech_recognition_v2/down/b4ea0d9a_nohash_7.wav	down
1cc80e39_nohash_1	google_speech_recognition_v2/marvin/1cc80e39_nohash_1.wav	marvin
f8ba7c0e_nohash_0	google_speech_recognition_v2/go/f8ba7c0e_nohash_0.wav	go
bfbd0e6b_nohash_0	google_speech_recognition_v2/marvin/bfbd0e6b_nohash_0.wav	marvin
a19a0225_nohash_0	google_speech_recognition_v2/down/a19a0225_nohash_0.wav	down
7c75a504_nohash_1	google_speech_recognition_v2/marvin/7c75a504_nohash_1.wav	marvin
dca2797e_nohash_2	google_speech_recognition_v2/go/dca2797e_nohash_2.wav	go
ed032775_nohash_2	google_speech_recognition_v2/stop/ed032775_nohash_2.wav	stop
4290ca61_nohash_2	google_speech_recognition_v2/go/4290ca61_nohash_2.wav	go
e71a9381_nohash_2	google_speech_recognition_v2/follow/e71a9381_nohash_2.wav	follow
171b56dc_nohash_1	google_speech_recognition_v2/go/171b56dc_nohash_1.wav	go
686d030b_nohash_0	google_speech_recognition_v2/down/686d030b_nohash_0.wav	down
5a5721f8_nohash_0	google_speech_recognition_v2/follow/5a5721f8_nohash_0.wav	follow
e6327279_nohash_3	google_speech_recognition_v2/down/e6327279_nohash_3.wav	down
bde0f20a_nohash_2	google_speech_recognition_v2/go/bde0f20a_nohash_2.wav	go
c2dccf38_nohash_5	google_speech_recognition_v2/stop/c2dccf38_nohash_5.wav	stop
472b8045_nohash_3	google_speech_recognition_v2/stop/472b8045_nohash_3.wav	stop
1589451d_nohash_0	google_speech_recognition_v2/down/1589451d_nohash_0.wav	down
bf8d5617_nohash_0	google_speech_recognition_v2/go/bf8d5617_nohash_0.wav	go
30276d03_nohash_0	google_speech_recognition_v2/happy/30276d03_nohash_0.wav	happy
e11fbc6e_nohash_1	google_speech_recognition_v2/go/e11fbc6e_nohash_1.wav	go
1ecfb537_nohash_0	google_speech_recognition_v2/happy/1ecfb537_nohash_0.wav	happy
de3fe344_nohash_1	google_speech_recognition_v2/go/de3fe344_nohash_1.wav	go
b5cf6ea8_nohash_10	google_speech_recognition_v2/follow/b5cf6ea8_nohash_10.wav	follow
fde2dee7_nohash_0	google_speech_recognition_v2/marvin/fde2dee7_nohash_0.wav	marvin
31601aad_nohash_2	google_speech_recognition_v2/happy/31601aad_nohash_2.wav	happy
837a0f64_nohash_0	google_speech_recognition_v2/down/837a0f64_nohash_0.wav	down
9acd0254_nohash_0	google_speech_recognition_v2/stop/9acd0254_nohash_0.wav	stop
06f6c194_nohash_1	google_speech_recognition_v2/stop/06f6c194_nohash_1.wav	stop
47d01978_nohash_0	google_speech_recognition_v2/marvin/47d01978_nohash_0.wav	marvin
dae01802_nohash_1	google_speech_recognition_v2/follow/dae01802_nohash_1.wav	follow
728be664_nohash_0	google_speech_recognition_v2/stop/728be664_nohash_0.wav	stop
6c968bd9_nohash_0	google_speech_recognition_v2/happy/6c968bd9_nohash_0.wav	happy
1b88bf70_nohash_0	google_speech_recognition_v2/happy/1b88bf70_nohash_0.wav	happy
